,player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries,year,progressive_passes_per90,progressive_carries_per90
117,Adama Diakhaby 18,"FW,MF",Huddersfield,22,552.0,0.14,0.07,0.21,0.14,0.21,10.0,1.79,7.0,0.0,1.0,1.0,1.0,42.0,18,1.6304347826086956,6.8478260869565215
118,Mohamed Diamé 18,MF,Newcastle Utd,31,2166.0,0.04,0.0,0.04,0.04,0.04,43.0,0.87,10.0,0.0,6.0,2.0,3.0,57.0,18,1.7867036011080333,2.3684210526315788
119,Grady Diangana 18,"FW,MF",West Ham,20,609.0,0.1,0.17,0.26,0.1,0.26,20.0,3.99,19.0,2.0,1.0,1.0,2.0,35.0,18,2.955665024630542,5.172413793103448
120,Eric Dier 18,MF,Tottenham,24,1506.0,0.1,0.04,0.14,0.1,0.14,73.0,1.2,18.0,0.0,0.0,0.0,1.0,54.0,18,4.362549800796812,3.2270916334661353
121,Lucas Digne 18,DF,Everton,25,2965.0,0.03,0.19,0.22,0.03,0.22,155.0,3.07,55.0,37.0,2.0,4.0,0.0,158.0,18,4.704890387858348,4.795952782462058
122,Virgil van Dijk 18,DF,Liverpool,27,3384.0,0.08,0.03,0.11,0.08,0.11,144.0,0.77,24.0,0.0,1.0,3.0,0.0,153.0,18,3.829787234042553,4.069148936170213
123,Issa Diop 18,DF,West Ham,21,2970.0,0.03,0.0,0.04,0.03,0.04,58.0,0.27,6.0,0.0,1.0,1.0,0.0,48.0,18,1.7575757575757576,1.4545454545454546
124,Matt Doherty 18,"DF,MF",Wolves,26,3144.0,0.15,0.11,0.26,0.15,0.26,155.0,2.35,60.0,4.0,4.0,6.0,5.0,179.0,18,4.437022900763359,5.124045801526718
125,Abdoulaye Doucouré 18,MF,Watford,25,3062.0,0.17,0.11,0.28,0.17,0.28,155.0,2.12,62.0,1.0,4.0,4.0,0.0,164.0,18,4.555845852384063,4.8203788373612015
126,Luke Dreher 18,MF,Crystal Palace,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,0.0,90.0
127,Martin Dúbravka 18,GK,Newcastle Utd,29,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
128,Shane Duffy 18,DF,Brighton,26,3087.0,0.08,0.02,0.09,0.08,0.09,29.0,0.61,16.0,0.0,0.0,2.0,2.0,15.0,18,0.8454810495626823,0.4373177842565598
